date,value
2001/10/22,17.74
2001/11/05,15
2001/12/10,9
2002/01/14,8.53
2002/02/25,11.61
2002/03/18,16.37
2002/04/15,13.12
2002/05/27,19.38
2002/06/17,25.1
2002/07/01,22.53
2002/08/26,24.4
2002/09/16,20.95
2002/10/21,17.62
2002/11/04,15.5
2003/02/09,8.06
2003/02/17,6.5
2003/03/26,12.7
2003/04/07,14.3
2003/05/26,16.1
2003/06/30,28
2003/07/16,29
2003/08/04,25.8
2003/09/08,21.46
2003/10/20,16
2003/11/25,13.4
2003/12/15,11.1
2004/01/19,7.4
2004/02/17,10
2004/03/23,12.7
2004/04/28,13.6
2004/05/10,13.2
2004/06/28,23.4
2004/07/14,21.2
2004/08/23,24.2
2004/09/15,22
2004/10/06,22
2004/11/15,7.5
2004/12/20,10
2005/01/25,4.7
2005/02/21,7
2005/03/16,13
2005/04/13,16
2005/05/23,20
2005/06/20,27
2005/07/27,28
2005/08/30,23
2005/09/27,20
2005/11/28,9
2006/02/14,9
2006/03/14,12
2006/04/19,17
2006/05/22,26
2006/06/13,24
2006/07/11,24
2006/08/14,22
2006/09/12,22.6
2006/10/10,20
2006/11/13,14.5
2006/12/11,10.2
